id,sex,country,city,bdate
81949045,Male,Украина,Киев,1996
81911455,Female,Германия,Karlsruhe,Unfiled_bdate
81898628,Female,Unfiled_country,Unfiled_city,Unfiled_bdate
81892666,Male,Unfiled_country,Unfiled_city,Unfiled_bdate
81865113,Male,Россия,Unfiled_city,1999
81811081,Female,Россия,Москва,Unfiled_bdate
81738190,Male,Unfiled_country,Unfiled_city,1997
81727170,Male,Россия,Севастополь,Unfiled_bdate
81691049,Male,Россия,Калуга,Unfiled_bdate
81601197,Male,Россия,Москва,1993
81575279,Male,Россия,Уфа,Unfiled_bdate
81571590,Male,Германия,Unfiled_city,Unfiled_bdate
81557471,Male,Россия,Новосибирск,2000
81523193,Male,Unfiled_country,Unfiled_city,Unfiled_bdate
81496249,Male,Россия,Сокольники,Unfiled_bdate
81435612,Female,Unfiled_country,Unfiled_city,1996
81434211,Male,Россия,Unfiled_city,Unfiled_bdate
81431275,Male,Россия,Unfiled_city,Unfiled_bdate
81430092,Male,Россия,Арзамас,Unfiled_bdate
81407319,Male,Россия,Unfiled_city,Unfiled_bdate
81403254,Male,Россия,Москва,Unfiled_bdate
81378692,Female,Unfiled_country,Unfiled_city,Unfiled_bdate
81366616,Male,Россия,Калуга,1991
81359813,Male,Россия,Новосибирск,Unfiled_bdate
81319376,Male,Россия,Подольск,Unfiled_bdate
81235276,Male,Украина,Unfiled_city,Unfiled_bdate
81156948,Female,Россия,Unfiled_city,1989
81135562,Male,Россия,Unfiled_city,1998
81132852,Male,Unfiled_country,Unfiled_city,Unfiled_bdate
81107777,Male,Россия,Unfiled_city,Unfiled_bdate
81087032,Female,Россия,Санкт-Петербург,Unfiled_bdate
81036914,Male,Россия,Челябинск,Unfiled_bdate
80983616,Female,Россия,Unfiled_city,Unfiled_bdate
80943125,Male,Россия,Нижний Новгород,1981
80849410,Male,Россия,Тюмень,1999
80842145,Male,Россия,Москва,2000
80778388,Male,Россия,Асбест,Unfiled_bdate
80719484,Male,Украина,Unfiled_city,Unfiled_bdate
80706368,Male,Unfiled_country,Unfiled_city,Unfiled_bdate
80666222,Male,Unfiled_country,Unfiled_city,Unfiled_bdate
80654077,Male,Россия,Рошаль,1993
80564189,Male,Россия,Москва,Unfiled_bdate
80545496,Male,Россия,Казань,1997
80533050,Male,Россия,Санкт-Петербург,Unfiled_bdate
80512571,Male,Россия,Москва,Unfiled_bdate
80498629,Male,Россия,Москва,1999
80408238,Male,Россия,Югорск,Unfiled_bdate
80399474,Male,Япония,Ōsaka,2003
80338723,Male,Украина,Винница,1987
80294679,Male,Россия,Москва,Unfiled_bdate
80243496,Male,Россия,Калуга,1995
80179654,Male,Россия,Москва,Unfiled_bdate
80158634,Female,Россия,Москва,1993
80156373,Male,Россия,Красноярск,1993
80150642,Male,Чехия,Brno,Unfiled_bdate
80116546,Male,Unfiled_country,Unfiled_city,1998
80083236,Male,Россия,Екатеринбург,1998
80053062,Male,Россия,Москва,Unfiled_bdate
80047424,Female,Россия,Калининград,1997
79914221,Male,Unfiled_country,Unfiled_city,1988
79894049,Male,Россия,Киров,1988
79839478,Male,Россия,Смоленск,1995
79818398,Male,Unfiled_country,Unfiled_city,Unfiled_bdate
79814992,Male,Россия,Архангельск,1971
79730010,Male,Италия,Napoli,Unfiled_bdate
79689618,Female,Беларусь,Минск,Unfiled_bdate
79567519,Male,Россия,Ижевск,Unfiled_bdate
79518732,Female,Россия,Unfiled_city,1998
79484817,Male,Россия,Воронеж,Unfiled_bdate
79481747,Male,Россия,Новосибирск,1997
79442846,Male,Россия,Краснотурьинск,1997
79438822,Male,Россия,Барнаул,1996
79340899,Male,Россия,Новосибирск,1994
79232121,Male,Россия,Unfiled_city,1996
79204760,Female,Россия,Москва,Unfiled_bdate
79141612,Female,Россия,Москва,Unfiled_bdate
79123611,Male,Россия,Воронеж,1995
79105504,Female,Россия,Unfiled_city,Unfiled_bdate
79026084,Female,Россия,Санкт-Петербург,Unfiled_bdate
78994322,Male,Россия,Москва,Unfiled_bdate
78962434,Male,Россия,Казань,1997
78952919,Male,Россия,Орехово-Зуево,1995
78944596,Male,Россия,Караганда,Unfiled_bdate
78936692,Male,Россия,Краснодар,Unfiled_bdate
78922699,Male,Россия,Тамбов,Unfiled_bdate
78829332,Male,Unfiled_country,Unfiled_city,Unfiled_bdate
78808038,Male,Россия,Нижнекамск,1996
78689048,Male,Unfiled_country,Unfiled_city,Unfiled_bdate
78684815,Male,Россия,Unfiled_city,Unfiled_bdate
78647172,Male,Россия,Пермь,Unfiled_bdate
78510548,Male,Россия,Москва,1999
78502124,Male,Unfiled_country,Unfiled_city,Unfiled_bdate
78458377,Male,Россия,Unfiled_city,Unfiled_bdate
78445366,Male,Россия,Луга,1997
78368213,Male,Россия,Красноярск,Unfiled_bdate
78220606,Male,Россия,Омск,1997
78196628,Male,Россия,Екатеринбург,1998
78069267,Male,Россия,Меленки,Unfiled_bdate
78066655,Male,Россия,Саранск,1998
78051851,Male,Unfiled_country,Unfiled_city,1994
77980140,Male,Россия,Алексин,1996
77978781,Male,Россия,Астрахань,Unfiled_bdate
77964771,Male,Россия,Unfiled_city,Unfiled_bdate
77906857,Male,Россия,Подольск,Unfiled_bdate
77810021,Male,Россия,Калининград,Unfiled_bdate
77733547,Male,Россия,Барнаул,Unfiled_bdate
77684151,Male,Украина,Unfiled_city,Unfiled_bdate
77673121,Female,Россия,Unfiled_city,1998
77658741,Female,Россия,Москва,Unfiled_bdate
77636757,Male,Россия,Старый Оскол,Unfiled_bdate
77626121,Male,Россия,Екатеринбург,Unfiled_bdate
77617885,Male,Россия,Санкт-Петербург,Unfiled_bdate
77508322,Female,Беларусь,Брест,Unfiled_bdate
77373663,Female,Россия,Ярославль,Unfiled_bdate
77339855,Male,Россия,Омск,Unfiled_bdate
77237437,Male,Россия,Unfiled_city,Unfiled_bdate
77213556,Male,Россия,Unfiled_city,1996
77207651,Male,Россия,Unfiled_city,Unfiled_bdate
77188564,Male,Россия,Ростов-на-Дону,1994
77187416,Male,Россия,Санкт-Петербург,Unfiled_bdate
77117211,Male,Россия,Нижний Новгород,1996
77053683,Male,Россия,Ханты-Мансийск,1997
77032341,Female,Россия,Санкт-Петербург,Unfiled_bdate
76882656,Male,Россия,Владимир,1994
76797375,Male,Россия,Unfiled_city,Unfiled_bdate
76778445,Male,Россия,Бобров,1997
76761123,Male,Unfiled_country,Unfiled_city,Unfiled_bdate
76752916,Male,Украина,Харьков,Unfiled_bdate
76732573,Male,Россия,Екатеринбург,1996
76707570,Female,Россия,Верево,2002
76665743,Male,Россия,Москва,Unfiled_bdate
76662101,Male,Unfiled_country,Unfiled_city,Unfiled_bdate
76645261,Male,Россия,Санкт-Петербург,Unfiled_bdate
76616178,Male,Россия,Уфа,Unfiled_bdate
76615373,Male,Россия,Нижний Новгород,2000
